login_work_mins_increment,logout_work_mins_increment,login_work_mins_increment_aggressive,logout_work_mins_increment_aggressive,round_logouts_to_rosters,round_logins_to_rosters,breaks_enabled,min_action_interval,automatic_break_length,minimum_shift_length_for_auto_breaks,append_automatic_breaks,default_passcode_length,maximum_shift_length,minimum_duration_between_shifts,copy_rosters,managers_can_see_costs,managers_can_share_rosters,managers_can_update_their_timesheets,leave_request_notifications,cost_leave_on_weekends,show_weekends,staff_have_full_timesheet_access,staff_can_edit_timesheets,staff_can_see_export_summary,approve_shifts_created_from_rosters,enable_flexi_time_zones,enable_roster_validation,roster_validation_max_length,roster_validation_min_gap,roster_validation_max_shifts_in_day,roster_validation_max_shifts_in_week,roster_validation_max_hours_in_week,roster_validation_min_length,enable_multi_level_shift_filters,expected_hours_in_pay_period,time_clock_cost_centre_mode,leave_request_default_length,enable_text_for_roster,enable_employee_leave,enable_availability,unavailability_minimum_days
20,15,TRUE,TRUE,TRUE,TRUE,TRUE,5,30,6.02,FALSE,4,14,2,FALSE,TRUE,TRUE,TRUE,admins,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,14.5,8,2,7,55,2,TRUE,38,blank,7.6,TRUE,TRUE,TRUE,7
15,15,FALSE,FALSE,TRUE,TRUE,TRUE,15,30,8,FALSE,4,16,8,FALSE,TRUE,TRUE,FALSE,admins,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,16,8,2,7,41,3,FALSE,0,blank,8,TRUE,TRUE,TRUE,4
15,15,TRUE,TRUE,TRUE,TRUE,TRUE,5,30,5.5,FALSE,4,14,8,FALSE,FALSE,FALSE,FALSE,admins,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,11.5,8,1,5,41,3,TRUE,38,blank,7.6,TRUE,TRUE,FALSE,21
15,15,TRUE,TRUE,TRUE,TRUE,TRUE,5,30,6.02,FALSE,4,14,8,FALSE,TRUE,TRUE,TRUE,admins,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,11.5,8,1,5,41,3,TRUE,38,blank,7.6,TRUE,TRUE,TRUE,4
15,15,FALSE,FALSE,TRUE,TRUE,TRUE,5,45,5.5,FALSE,4,14,8,FALSE,TRUE,TRUE,FALSE,managers_and_admins,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,11.5,8,1,5,41,3,FALSE,0,blank,7.6,TRUE,TRUE,TRUE,4
15,15,TRUE,TRUE,FALSE,FALSE,TRUE,5,30,5.5,FALSE,4,14,8,FALSE,TRUE,TRUE,TRUE,admins,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,11.5,8,1,5,41,3,FALSE,0,blank,7.6,TRUE,TRUE,TRUE,4
15,15,TRUE,TRUE,TRUE,TRUE,TRUE,5,30,5.02,TRUE,4,16,1,FALSE,FALSE,TRUE,TRUE,admins,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,16,1,2,7,60,2,TRUE,38,blank,7.6,FALSE,TRUE,TRUE,4
0,0,TRUE,FALSE,FALSE,TRUE,TRUE,5,30,6,FALSE,4,10,10,FALSE,FALSE,TRUE,FALSE,admins,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,10,10,1,6,38,3,FALSE,0,blank,7.6,TRUE,TRUE,FALSE,4
15,15,TRUE,TRUE,TRUE,TRUE,TRUE,5,30,5.5,FALSE,4,12,8,FALSE,FALSE,TRUE,TRUE,admins,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,11.5,8,1,6,38,3,TRUE,38,blank,7.6,TRUE,TRUE,TRUE,4
15,15,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,6,FALSE,4,10,8,FALSE,TRUE,TRUE,TRUE,admins,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,11.5,8,1,5,41,3,FALSE,0,department,7.6,TRUE,TRUE,TRUE,4
15,15,TRUE,TRUE,TRUE,TRUE,TRUE,5,30,11,FALSE,4,14,8,FALSE,TRUE,TRUE,TRUE,admins,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,11.5,8,2,10,38,2,TRUE,76,blank,6,TRUE,TRUE,TRUE,7
15,15,TRUE,TRUE,TRUE,TRUE,FALSE,5,30,5.5,FALSE,4,14,8,FALSE,TRUE,TRUE,TRUE,admins,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,11.5,8,1,5,41,3,TRUE,0,blank,7.6,TRUE,TRUE,TRUE,4
0,0,FALSE,FALSE,FALSE,FALSE,TRUE,5,0,5.5,FALSE,4,14,8,FALSE,FALSE,TRUE,TRUE,admins,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,11.5,8,1,5,41,3,FALSE,0,blank,7.6,TRUE,TRUE,FALSE,4
15,15,TRUE,TRUE,TRUE,TRUE,TRUE,5,30,7,FALSE,4,14,8,FALSE,TRUE,TRUE,TRUE,admins,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,11.5,8,1,5,41,3,FALSE,38,blank,7.6,TRUE,TRUE,TRUE,4
15,15,TRUE,FALSE,TRUE,TRUE,TRUE,5,0,5,FALSE,4,12,8,FALSE,TRUE,TRUE,TRUE,admins,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,12,8,1,5,41,4,FALSE,38,blank,7.6,TRUE,TRUE,TRUE,7
15,15,TRUE,TRUE,TRUE,TRUE,TRUE,5,30,5,FALSE,4,14,8,FALSE,TRUE,TRUE,TRUE,blank,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,11.5,8,1,5,41,3,FALSE,38,blank,7.6,TRUE,TRUE,FALSE,4
0,0,FALSE,FALSE,FALSE,FALSE,TRUE,5,0,0,FALSE,4,21,8,FALSE,TRUE,TRUE,TRUE,admins,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,11.5,8,1,5,41,3,FALSE,0,blank,7.6,TRUE,TRUE,FALSE,4
10,10,TRUE,TRUE,TRUE,TRUE,TRUE,5,30,5.5,FALSE,4,14,8,FALSE,TRUE,TRUE,TRUE,admins,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,11.5,8,1,5,41,3,FALSE,0,blank,7.6,TRUE,TRUE,FALSE,4
15,0,TRUE,FALSE,FALSE,TRUE,TRUE,5,30,5.5,FALSE,4,14,8,FALSE,FALSE,TRUE,FALSE,admins,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,11.5,8,1,5,41,3,FALSE,0,blank,7.6,TRUE,TRUE,FALSE,4
15,15,FALSE,FALSE,TRUE,TRUE,TRUE,5,30,5.5,FALSE,6,12,8,FALSE,TRUE,TRUE,TRUE,managers_and_admins,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,11.5,8,1,5,41,3,TRUE,0,blank,8,TRUE,TRUE,FALSE,4
15,15,FALSE,FALSE,FALSE,FALSE,TRUE,5,30,5.5,TRUE,4,14,8,FALSE,TRUE,TRUE,TRUE,managers_and_admins,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,11.5,8,1,5,41,3,FALSE,0,blank,7.6,TRUE,TRUE,TRUE,4
15,15,FALSE,FALSE,FALSE,FALSE,TRUE,5,30,5.5,FALSE,4,14,8,FALSE,FALSE,TRUE,FALSE,managers_and_admins,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,11.5,8,1,6,41,3,FALSE,0,blank,7.5,TRUE,TRUE,FALSE,4
15,15,TRUE,TRUE,TRUE,TRUE,TRUE,5,30,5.5,FALSE,4,14,8,FALSE,TRUE,TRUE,TRUE,admins,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,11.5,8,1,5,41,3,FALSE,0,blank,7.6,TRUE,TRUE,TRUE,4
